file_id;model_name;sdr;emb_mse_mert_df;DMOS;singmos;emb_mse_music2latent_df
fileid_48;melroformer_bigvgan;-12.818882922593692;0.1097;3.1666666666666665;2.8273110389709473;0.4846
fileid_37;melroformer_small;4.950461794893383;0.1333;2.1666666666666665;3.181197166442871;0.3308
fileid_49;melroformer_large;12.454617345328394;0.0724;2.75;3.886700630187988;0.31
fileid_49;melroformer_small;10.45571687744348;0.0875;2.6666666666666665;3.352792978286743;0.3525
fileid_12;sgmsvs;15.360690359671825;0.0879;2.25;4.050381660461426;0.2463
fileid_0;melroformer_bigvgan;-3.2546853675591656;64;4.25;3.36063551902771;0.2925
fileid_35;melroformer_bigvgan;-9.888401061712129;0.09;4.083333333333333;2.9155964851379395;0.4797
fileid_39;melroformer_bigvgan;-6.270757526317146;0.07574;4.166666666666667;3.5589208602905273;0.3796
fileid_15;htdemucs;7.926412014902947;0.1166;1.25;3.517669916152954;0.2249
fileid_5;sgmsvs;10.73050326346619;0.0808;3.5;4.1176981925964355;0.2125
fileid_44;melroformer_bigvgan;-8.837381387128755;56;4.25;2.651293992996216;0.4236
fileid_22;htdemucs;5.333960920520147;0.12134;1.5833333333333333;3.1617352962493896;0.5146
fileid_26;htdemucs;14.11031593547303;0.0713;2.8333333333333335;4.198385715484619;0.1555
fileid_33;htdemucs;12.387317738219776;0.08655;3.0;3.869234561920166;0.1114
fileid_0;htdemucs;18.48684526981158;0.0972;1.9166666666666667;3.190034866333008;0.1919
fileid_27;htdemucs;4.355783927783116;0.2556;1.0;2.211893320083618;0.8413
fileid_25;melroformer_small;13.75518161557961;0.0826;2.5;4.121065616607666;0.0729
fileid_15;melroformer_bigvgan;-9.244292680469767;0.10706;3.5;3.5278491973876953;0.2747
fileid_24;melroformer_large;8.910171496793792;0.05872;4.0;3.682581901550293;0.09
fileid_40;sgmsvs;6.776509796380655;0.0676;3.8333333333333335;2.785196304321289;0.1449
fileid_32;melroformer_bigvgan;-10.373883275541012;0.11975;3.0833333333333335;2.9247093200683594;0.3767
fileid_7;melroformer_small;10.932160304600194;0.10004;3.0;3.951321840286255;0.2103
fileid_16;htdemucs;6.394928252499542;135;1.25;2.8670949935913086;0.2664
fileid_12;melroformer_small;14.937710027938136;0.08295;3.25;4.055478572845459;0.1448
fileid_15;melroformer_large;10.271866424954151;0.0773;3.0833333333333335;3.826246976852417;0.09033
fileid_47;melroformer_bigvgan;-13.129594825650324;0.08374;3.5;2.7968311309814453;0.5503
fileid_44;htdemucs;12.265874616611544;0.04642;3.0833333333333335;2.670048236846924;0.1537
fileid_18;melroformer_large;9.823195358398753;0.08105;2.5;3.1714911460876465;0.2202
fileid_13;htdemucs;9.444402635771423;0.0888;1.6666666666666667;4.242556571960449;0.2288
fileid_46;melroformer_small;12.903403673543066;0.11444;3.25;4.125441074371338;0.2234
fileid_21;melroformer_bigvgan;-5.417331113386766;0.08405;3.6666666666666665;3.505953550338745;0.4468
fileid_36;melroformer_bigvgan;-14.452201977735752;0.2218;1.3333333333333333;2.826072931289673;866
fileid_7;htdemucs;9.697055655225649;0.1335;1.5833333333333333;3.649606704711914;0.2322
fileid_10;melroformer_large;22.672252829484847;0.01247;3.9166666666666665;4.863491058349609;0.03622
fileid_47;sgmsvs;7.525695452846964;0.07635;2.0;2.8489091396331787;0.2534
